2023-05-15,商品ID,商品名稱,商品訪客數,商品頁瀏覽數,跳出商品的不重複訪客,商品頁的跳出率,搜尋點擊,商品按讚數,商品頁訪客數(加入購物車),加入購物車(件數),加入購物車轉換率,買家(全部訂單),數量(全部訂單),銷售額(全部訂單) (TWD),轉換率(全部訂單),買家(可出貨訂單),數量(可出貨訂單),銷售額(可出貨訂單) (TWD),轉換率(可出貨訂單),全部訂單到可出貨訂單的轉換率
2023-05-15,10155555266,"宅栽室內盆栽專用介質,觀葉植物介質",50,116,12,24.00%,7,1,10,19,20.00%,3,3,951,6.00%,3,3,951,6.00%,100.00%
2023-05-15,21631067624,白泉黃金葛 Epipremnum aureum 'Manjula' | 懸垂植物 | 垂掛植物 | 窗邊植物,13,18,2,15.38%,2,0,1,1,7.69%,1,1,215,7.69%,1,1,215,7.69%,100.00%
2023-05-15,5555483766,Goeppertia louisae ‘Fusion White’ 油畫竹芋,49,103,10,20.41%,13,3,8,7,16.33%,1,1,633,2.04%,1,1,633,2.04%,100.00%
2023-05-15,23907869819,🌑🌑🌑黑巧克力椒草🌑🌑🌚,10,16,0,0.00%,2,1,3,2,30.00%,1,1,449,10.00%,1,1,449,10.00%,100.00%
2023-05-15,11736492342,Philodendron hederaceum 'Brasil' 斑葉心葉蔓綠絨,17,22,5,29.41%,1,0,1,1,5.88%,1,1,215,5.88%,1,1,215,5.88%,100.00%
2023-05-15,12419529766,Philodendron 'Burle Marx' variegated 斑葉獨角獸蔓綠絨,24,32,6,25.00%,3,1,4,3,16.67%,1,1,527,4.17%,1,1,527,4.17%,100.00%
2023-05-15,10461754468,Epipremnum aureum 'Global Green'  世界綠黃金葛,9,11,5,55.56%,0,0,1,1,11.11%,1,1,969,11.11%,1,1,969,11.11%,100.00%
2023-05-15,16884314245,Heliconia ‘Variegated Nickeriensis' 斑葉鳥蕉,34,53,9,26.47%,9,1,1,1,2.94%,1,1,730,2.94%,1,1,730,2.94%,100.00%
2023-05-15,17575413715,Epipremnum 'Marble Queen'大理石皇后黃金葛 雪花黃金葛 大理石黃金葛,15,17,4,26.67%,1,2,3,2,20.00%,1,1,280,6.67%,1,1,280,6.67%,100.00%
2023-05-15,23926053505,Metapetrocosmea eberhardtii 苦苣苔紫邊流鼻涕,9,13,2,22.22%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,3933164797,Solanum uleanum 厄瓜多茄🍆 | 3吋小品,8,14,2,25.00%,0,0,1,1,12.50%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,10151586595,Philodendron camposportoanum 兔耳蔓綠絨【現切】8支組,12,16,2,16.67%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,2241080024,Geogenanthus undatus 銀波草,6,6,1,16.67%,1,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,21578792942,Goeppertia warscewiczii 「天鵝絨竹芋」｜升級版的 斑馬竹芋 觸摸系植人必收,10,11,1,10.00%,2,1,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,19213099914,鑽石火鶴/稜邊花燭 Anthurium x ferrierense ‘Crisped’,19,22,4,21.05%,3,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,11481164410,紅玉椒草 Peperomia rugosa,4,10,0,0.00%,1,0,1,1,25.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,11637706210,Hoya wayetii variegated 斑葉狹葉毬蘭,1,1,1,100.00%,1,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,15431216165,斑葉車前草，黃金色的烏龜食草,3,2,3,100.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,20545381994,Columnea microphylla ’Variegata‘ 斑葉鯨魚花,6,5,3,50.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,18226018895,質感園藝單品-仿皮革換盆墊-植墊/換盆墊/換土墊 /植物墊/防水墊/綠植墊,9,8,0,0.00%,0,0,1,1,11.11%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,15294263847,斑葉閉鞘薑 黃色絲狀斑🙂3吋小品,6,7,2,33.33%,0,0,1,1,16.67%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,23501892354,Syngonium ‘Pink Salmon‘ 血斑合果芋,3,2,3,100.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,23015213062,Hemigraphis alternata 皺葉半插花,3,2,2,66.67%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,18657144232,Syngonium auritum 兔耳合果芋,4,3,1,25.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,21427677821,銅鑼燒花燭 joey****私人訂購請勿擅自下單,1,1,0,0.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,13942325580,Maranta Leuconeura var. kerchoveana ‘Variegata’ 斑葉豹紋竹芋 |熊貓竹芋,8,7,3,37.50%,1,1,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,21342410454,Philodendron gloriosum 「一般個體」圓柄錦緞蔓綠絨,1,1,0,0.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,8583554276,Philodendron pedatum 龍爪蔓綠絨,11,15,2,18.18%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,23342258357,觀花賞葉的好選擇😉 斑葉日本白芨Bletilla striata,18,28,6,33.33%,0,0,1,1,5.56%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,22367305870,Kaempferia sp.熊貓孔雀薑,18,45,5,27.78%,2,2,1,1,5.56%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,16367369546,Syngonium 'Pink Spot' 粉點合果芋,7,7,0,0.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,18378015437,斑葉皺葉椒草 春天少女風植物🥰💞💓💗,11,12,1,9.09%,2,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,13598257845,Peperomia 'Napoli Nights' 拿坡里之夜椒草,6,14,1,16.67%,0,1,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,12636466702,Philodendron hederaceum 'Variegated' 大理石心葉蔓綠絨,12,11,1,8.33%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,11723466634,Microsorum musifolium 鱷魚皮星蕨,3,3,2,66.67%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,13934023423,Silver Band豹紋竹芋,10,20,4,40.00%,1,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,23434684713,Anthurium ‘Dorayaki’ 丸葉/銅鑼燒花燭｜私人訂購  請先聊聊,11,16,2,18.18%,2,1,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,16868680554,Philodendron brandtianum 白蘭地蔓綠絨,1,1,1,100.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,2483123102,Caladium praetermissum 迷彩芋  2盆150,10,11,2,20.00%,0,1,1,1,10.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,5897785949,Philodendron “Golden Dragon” 金龍蔓綠絨,6,6,2,33.33%,1,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,10018229803,Goeppertia kegeljanii 馬賽克竹芋,16,20,8,50.00%,1,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,12496971756,Spathiphyllum 'Silver Streak'銀道香鶴芋,5,5,1,20.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,19807419911,Goeppertia fasciata ‘Borrusica’ 黑蘋果竹芋,1,1,1,100.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,17568677980,Monstera adansonii ‘Swiss Cheese Vine’ 瑞士起司窗孔龜背芋｜3吋小品,14,13,4,28.57%,2,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,20407428140,Philodendron 'Pink Princess'粉紅公主蔓綠絨,10,10,2,20.00%,2,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,12436467670,粗肋草sp.  Aglaonema sp.,7,6,1,14.29%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,3117806520,Begonia ‘White Ice’  白冰秋海棠 2盆特價250,1,1,1,100.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,19630323482,Philodendron gloriosum 「圓臉個體」圓柄錦緞蔓綠絨,1,1,0,0.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,19671427083,Dracaena fragrans 'Albo-marginata' 白斑香龍血樹,9,15,3,33.33%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,3081261667,Philodendron erubescens ‘Painted Lady’ 灑金蔓綠絨,5,4,4,80.00%,1,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,22034706921,精挑細選的 黑窄后Anthurium warocqueanum  dark narrow form,6,5,2,33.33%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,22727167383,新品 白雪姬常春藤、ヘデラ白雪姫❄️❄️,1,2,1,100.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,5208933110,Aspidistra yingjiangensis ‘Singapore Sling’ 新加坡司令蜘蛛抱蛋,12,21,2,16.67%,2,1,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,3714572901,Impatiens niamniamensis 剛果鳳仙(紅黃) | 3吋小品 | 不一定有花｜怕熱植物,1,1,1,100.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,17268706908,Kaempferia sp.熊貓孔雀薑 🥔塊莖販售🥔,16,37,6,37.50%,0,0,1,1,6.25%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,19543206079,Sansevieria cylindrica var. patula ‘Boncel’ 佛手虎尾蘭(裸根出貨),6,7,3,50.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,15180852411,Syngonium ‘Aurea Yellow Variegata’黃斑合果芋,4,3,3,75.00%,0,1,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,18302664603,Monstera adansonii 'Variegated'白斑窗孔龜背芋,1,2,0,0.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,19870726848,Rhaphidophora​ tenuis​ 裂葉崖角藤,7,7,3,42.86%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,22539664582,普洛實生苗🍈 不輸給西瓜普洛的對比表現普洛,13,19,2,15.38%,1,0,1,1,7.69%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,12314547293,Ficus deltoidea 小判菩提 | 金背榕 | 3吋小品,0,0,0,0.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,18422640251,Pink splash kate****私人訂購請勿擅自下單,3,2,3,100.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,9783536483,Costus malortieanus 絨葉閉鞘薑 | 耐陰植物,16,26,6,37.50%,1,0,1,1,6.25%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,18907400650,Tetrastigma umbellatum 台灣崖爬藤,19,23,3,15.79%,2,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,23042253514,新款豹紋竹芋 你的新選🥸🥸🥸  Maranta cristata 雞冠豹紋竹芋,12,15,4,33.33%,1,0,1,1,8.33%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,16679230795,Philodendron bipennifolium ‘Aurea’ 黃金琴葉蔓綠絨,1,1,1,100.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,2459305914,室內植栽 竹芋組B  紅背竹芋、女王竹芋、銀道竹芋,1,1,0,0.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,16381255175,皺葉冷水花 Pilea mollis,8,9,2,25.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,16724989780,Philodendron grazielae圓扇蔓綠絨 (愛心葉蔓綠絨),10,23,4,40.00%,1,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,20631073686,虎紋小鳳梨/絨葉小鳳梨 Cryptanthus zonatus,8,10,4,50.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,22614838247,「私人訂購」雪月花虎耳草🎄🎄🎄🎄,1,1,0,0.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,18907606871,Peperomia sandersii 大西瓜皮椒草,1,1,1,100.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,18907353911,Epipremnum pinnatum var.斑葉拎樹藤,3,20,0,0.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,19961520035,花葉蔓綠絨 Philodendron verrucosum｜可能有葉傷，可先聊聊看植株｜3吋盆,9,14,3,33.33%,1,1,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,22615214347,Hemigraphis ‘Dragon's Tongue’ 龍舌頭半插花,4,3,3,75.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,8921371036,Maranta leuconeura var. 綠脈豹紋竹芋,13,18,6,46.15%,3,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,19264055926,七變化虎耳草 斑葉虎耳草,0,0,0,0.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,2705620375,Begonia brevirimosa subsp. exotica 異色短裂秋海棠,1,1,1,100.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,9178189529,Goeppertia rufibarba 'Wavestar' 紅背竹芋,1,2,0,0.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,18953743598,🐼Syngonium ‘Panda’ 熊貓合果芋🐼,4,3,0,0.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,13597456497,白斑姑婆芋 斑葉姑婆芋,14,28,5,35.71%,3,0,4,3,28.57%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,7701143370,Begonia ‘Fireworks’ 煙火秋海棠 Rex系列秋海棠,1,3,0,0.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,23734695329,令人驚豔的懸垂植物 Gynura aurantiaca紫鵝絨,9,9,3,33.33%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,12584663733,「春季限定」孔雀薑全餐 🥔塊莖販售🥔,11,12,2,18.18%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,18057161140,Anthurium magnificum x crystallinum 華麗X水晶花燭,12,18,3,25.00%,1,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,18061514990,哥吉拉黃金葛Epipremnum ‘Godzilla’,4,4,3,75.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,7297785483,Syngonium podophyllum ‘Albo-Variegatum’白斑合果芋｜3吋小品,19,19,6,31.58%,1,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,21323582487,Anthurium vittariifolium飄帶火鶴,33,58,10,30.30%,1,1,5,4,15.15%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,19643198442,Goudaea 'Smudge Pattern' 鶯歌鳳梨,4,4,1,25.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,12942334495,Ctenanthe lubbersiana ‘Golden Mosaic’  黃斑竹芋,1,1,0,0.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,20447286741,Philodendron gloriosum 「圓臉個體」圓柄錦緞蔓綠絨,1,1,1,100.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,18553729822,Spathiphyllum ‘Platinum Mist’白金薄霧白鶴芋,3,3,0,0.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,18478821898,Talinum paniculatum albo 白斑土人蔘 ｜3吋小品｜ 耐熱好栽培👌  可同時觀葉觀花觀果,9,11,5,55.56%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,8283576234,Spathiphyllum ‘City of Angels’ 斑葉白鶴芋,19,23,7,36.84%,4,0,4,4,21.05%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,2662936444,Cordyline terminalis 'Miss Andrea'/‘Chocolate Queen’巧克力皇后朱蕉,4,4,1,25.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,17860891293,三角白雲（原種）Philodendron mamei,3,2,0,0.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,12876885322,Peperomia maculosa 大型椒草,0,0,0,0.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,22307870966,Peperomia ‘Schumi Red’舒馬克紅椒草🏎🏎,5,6,2,40.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,23325424124,Peperomia trinervis 三脈椒草,5,5,1,20.00%,0,0,1,1,20.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,15584237358,Philodendron 69686 69686蔓綠絨,5,6,1,20.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,11737990319,Alocasia cuprea 銅鏡觀音蓮,19,29,5,26.32%,0,0,1,1,5.26%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,11704573111,Musa acuminata ‘Sumatrana’ 蘇門答臘血斑香蕉,1,2,0,0.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,18012375910,Syngonium 'Batik'蠟染合果芋,8,13,0,0.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,14794844469,Philodendron ‘Florida Beauty'斑葉龍爪蔓綠絨,10,13,5,50.00%,2,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,23841606552,Syngonium rayii 絲絨合果芋 🍃葉子摸起來很細緻😛 生態缸植物,16,25,6,37.50%,0,0,3,2,18.75%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,22205381292,薄荷窗孔龜背芋 Monstera adansonii 'Mint Variegated',1,1,0,0.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,13093373869,Peperomia sandersii 小西瓜皮椒草,3,3,2,66.67%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,6196550099,Kaempferia elegans 'Shazam' 華麗孔雀薑 🥔塊莖販售🥔,17,33,6,35.29%,1,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,16372008686,Syngonium 'Godzilla' 哥吉拉合果芋｜3吋小品,3,3,0,0.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,11581163318,妖精葉下珠/ 銀葉葉下珠 Phyllanthus 'Fairy',15,19,4,26.67%,1,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,22367751167,可愛的小巧植物 精緻的花紋 Primulina averyi 織錦報春苣苔,17,22,6,35.29%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,18261512485,Selaginella umbrosa 黃金卷柏,5,7,1,20.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,23025423554,Peperomia ‘Schumi Red’舒馬克紅椒草,8,14,2,25.00%,0,0,1,2,12.50%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,18017645689,Sansevieria 'Cleopatra' 埃及豔后虎尾蘭(裸根出貨),6,7,1,16.67%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,19353732699,Spathiphyllum ‘Domino’ 達美樂白鶴芋,1,1,0,0.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,20570727286,Anthurium clavigerum 雪花火鶴❄️❄️❄️,4,3,1,25.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,16381053499,Philodendron ‘McDowel’ 大麥克蔓綠絨,3,4,0,0.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,2712387471,Aglaonema ‘Peacock’ 孔雀粗肋草,5,4,2,40.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,18557142170,Dendrobium acinaciforme 稜葉石斛,18,21,8,44.44%,1,0,3,3,16.67%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,21223578157,斑葉麒麟花Euphorbia milii 'Fireworks'｜裸根寄出,8,7,4,50.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,21957143211,Anthurium magnificum 華麗花燭實生苗,8,18,4,50.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,19557138736,Alocasia cuprea 銅葉觀音蓮 超巨大植株,1,1,1,100.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,22034664139,耐低光的酒紅色室內植物 美葉火筒樹Leea guineensis 'Burgundy',1,1,1,100.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,20112370953,Goeppertia 'Misto' 歐蕾竹芋,4,3,1,25.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,2772455951,Siderasis fuscata 絨氈草,3,5,0,0.00%,1,1,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,22918012726,小型圓基花燭  迷你的品種,4,3,4,100.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,9666948418,Syngonuim erythrophyllum ‘Red Arrow’ 黑合果芋,14,16,3,21.43%,0,0,1,1,7.14%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,18730320146,Philodendron mamei 珍稀原種白雲蔓綠絨,3,2,2,66.67%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,21609188544,zxcv***** 私人訂購請勿,1,1,0,0.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,22167753440,苦苣苔 觀花賞葉 Primulina liujiangensis柳江報春苣苔,11,10,6,54.55%,2,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-15,20517889009,女王竹芋 iam2****私人訂購請勿擅自下單,1,1,0,0.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
