日期,商品訪客數,商品頁瀏覽數,被瀏覽商品數,跳出商品的不重複訪客,商品頁的跳出率,搜尋點擊,商品按讚數,商品頁訪客數(加入購物車),加入購物車(件數),加入購物車轉換率,買家(全部訂單),數量(全部訂單),被購買的商品,銷售額(全部訂單) (TWD),轉換率(全部訂單),買家(可出貨訂單),數量(可出貨訂單),可出貨商品數量,銷售額(可出貨訂單) (TWD),轉換率(可出貨訂單),下單到可出貨轉換率
2023-05-15 00:00,26,149,58,5,19.23%,5,2,4,4,15.38%,1,1,1,360,3.85%,1,1,1,360,3.85%,100.00%
2023-05-15 01:00,22,174,73,4,18.18%,7,14,5,5,22.73%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-15 02:00,8,89,62,0,0.00%,0,0,0,0,0.00%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-15 03:00,8,12,9,3,37.50%,2,0,0,0,0.00%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-15 04:00,9,54,39,2,22.22%,0,2,1,1,11.11%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-15 05:00,4,25,17,0,0.00%,2,0,1,1,25.00%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-15 06:00,12,110,66,0,0.00%,3,1,0,0,0.00%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-15 07:00,8,27,12,1,12.50%,2,3,0,0,0.00%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-15 08:00,13,34,23,3,23.08%,3,0,3,2,23.08%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-15 09:00,15,26,19,5,33.33%,2,2,1,1,6.67%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-15 10:00,21,149,71,5,23.81%,5,1,4,11,19.05%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-15 11:00,22,73,42,8,36.36%,4,0,1,2,4.55%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-15 12:00,20,79,34,4,20.00%,6,0,1,1,5.00%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-15 13:00,25,61,34,10,40.00%,3,0,4,3,16.00%,1,1,1,280,4.00%,1,1,1,280,4.00%,100.00%
2023-05-15 14:00,20,42,29,7,35.00%,9,0,1,2,5.00%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-15 15:00,26,52,33,10,38.46%,5,0,1,3,3.85%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-15 16:00,27,73,40,9,33.33%,4,2,3,3,11.11%,1,1,1,310,3.70%,1,1,1,310,3.70%,100.00%
2023-05-15 17:00,28,167,67,7,25.00%,9,0,6,11,21.43%,1,2,2,730,3.57%,1,2,2,730,3.57%,100.00%
2023-05-15 18:00,26,82,47,5,19.23%,8,0,1,4,3.85%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-15 19:00,19,44,21,7,36.84%,7,1,1,2,5.26%,1,1,1,730,5.26%,1,1,1,730,5.26%,100.00%
2023-05-15 20:00,26,148,79,6,23.08%,9,1,3,5,11.54%,1,3,3,"1,400",3.85%,1,3,3,"1,400",3.85%,100.00%
2023-05-15 21:00,27,87,42,9,33.33%,6,0,3,4,11.11%,1,2,2,"1,160",3.70%,1,2,2,"1,160",3.70%,100.00%
2023-05-15 22:00,35,191,87,4,11.43%,10,0,8,14,22.86%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-15 23:00,35,209,88,10,28.57%,14,0,5,4,14.29%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
