日期,商品訪客數,商品頁瀏覽數,被瀏覽商品數,跳出商品的不重複訪客,商品頁的跳出率,搜尋點擊,商品按讚數,商品頁訪客數(加入購物車),加入購物車(件數),加入購物車轉換率,買家(全部訂單),數量(全部訂單),被購買的商品,銷售額(全部訂單) (TWD),轉換率(全部訂單),買家(可出貨訂單),數量(可出貨訂單),可出貨商品數量,銷售額(可出貨訂單) (TWD),轉換率(可出貨訂單),下單到可出貨轉換率
2023-05-16 00:00,23,80,35,7,30.43%,9,2,4,7,17.39%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-16 01:00,18,86,41,4,22.22%,7,1,4,4,22.22%,1,1,1,660,5.56%,1,1,1,660,5.56%,100.00%
2023-05-16 02:00,11,28,7,2,18.18%,3,0,0,0,0.00%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-16 03:00,8,27,11,2,25.00%,2,0,0,0,0.00%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-16 04:00,6,25,12,1,16.67%,1,0,1,1,16.67%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-16 05:00,5,9,6,1,20.00%,1,0,1,1,20.00%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-16 06:00,10,18,16,0,0.00%,1,1,0,0,0.00%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-16 07:00,11,62,44,2,18.18%,3,0,3,2,27.27%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-16 08:00,15,46,31,5,33.33%,7,0,1,1,6.67%,1,1,1,310,6.67%,1,1,1,310,6.67%,100.00%
2023-05-16 09:00,13,36,21,2,15.38%,0,0,1,1,7.69%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-16 10:00,19,55,27,7,36.84%,6,1,3,2,15.79%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-16 11:00,15,54,32,2,13.33%,5,1,1,1,6.67%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-16 12:00,23,110,60,4,17.39%,5,3,1,1,4.35%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-16 13:00,29,65,30,9,31.03%,6,1,3,2,10.34%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-16 14:00,24,99,52,4,16.67%,5,2,1,3,4.17%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-16 15:00,22,100,54,4,18.18%,6,1,4,5,18.18%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-16 16:00,19,75,23,4,21.05%,9,0,4,13,21.05%,1,1,1,310,5.26%,1,1,1,310,5.26%,100.00%
2023-05-16 17:00,23,108,51,10,43.48%,4,0,8,7,34.78%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-16 18:00,28,153,72,4,14.29%,5,5,6,10,21.43%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-16 19:00,27,180,82,3,11.11%,10,1,5,7,18.52%,1,2,2,780,3.70%,1,2,2,780,3.70%,100.00%
2023-05-16 20:00,29,103,53,5,17.24%,7,1,4,3,13.79%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-16 21:00,39,105,52,9,23.08%,15,1,4,3,10.26%,1,1,1,310,2.56%,1,1,1,310,2.56%,100.00%
2023-05-16 22:00,38,126,42,7,18.42%,10,1,5,4,13.16%,0,0,0,0,0.00%,0,0,0,0,0.00%,0.00%
2023-05-16 23:00,29,129,36,8,27.59%,4,1,3,2,10.34%,1,1,1,700,3.45%,0,0,0,0,0.00%,0.00%
