2023-05-17,商品ID,商品名稱,商品訪客數,商品頁瀏覽數,跳出商品的不重複訪客,商品頁的跳出率,搜尋點擊,商品按讚數,商品頁訪客數(加入購物車),加入購物車(件數),加入購物車轉換率,買家(全部訂單),數量(全部訂單),銷售額(全部訂單) (TWD),轉換率(全部訂單),買家(可出貨訂單),數量(可出貨訂單),銷售額(可出貨訂單) (TWD),轉換率(可出貨訂單),全部訂單到可出貨訂單的轉換率
2023-05-17,10155555266,"宅栽室內盆栽專用介質,觀葉植物介質",71,146,11,15.49%,13,4,18,23,25.35%,4,10,"2,857",5.63%,4,10,"2,857",5.63%,100.00%
2023-05-17,8921371036,Maranta leuconeura var. 綠脈豹紋竹芋,9,18,4,44.44%,0,0,1,1,11.11%,1,2,653,11.11%,1,2,653,11.11%,100.00%
2023-05-17,18557142170,Dendrobium acinaciforme 稜葉石斛,13,13,6,46.15%,0,0,0,0,0.00%,1,1,327,7.69%,1,1,327,7.69%,100.00%
2023-05-17,18378015437,斑葉皺葉椒草 春天少女風植物🥰💞💓💗,8,9,1,12.50%,0,0,1,1,12.50%,1,1,213,12.50%,1,1,213,12.50%,100.00%
2023-05-17,11737990319,Alocasia cuprea 銅鏡觀音蓮,12,22,3,25.00%,1,0,1,1,8.33%,1,1,160,8.33%,1,1,160,8.33%,100.00%
2023-05-17,17268706908,Kaempferia sp.熊貓孔雀薑 🥔塊莖販售🥔,13,24,3,23.08%,1,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-17,12214512741,Philodendron ‘Grey silver sword’ 銀劍蔓綠絨,4,3,1,25.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-17,22918012726,小型圓基花燭  迷你的品種,3,2,2,66.67%,1,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-17,19870726848,Rhaphidophora​ tenuis​ 裂葉崖角藤,5,4,0,0.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-17,18017645689,Sansevieria 'Cleopatra' 埃及豔后虎尾蘭(裸根出貨),4,12,1,25.00%,1,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-17,10637713721,Syngonium macrophyllum ‘Frosted Heart’ 霜心合果芋,4,3,0,0.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-17,12496971756,Spathiphyllum 'Silver Streak'銀道香鶴芋,3,3,0,0.00%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-17,11581163318,妖精葉下珠/ 銀葉葉下珠 Phyllanthus 'Fairy',5,4,2,40.00%,1,0,1,1,20.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-17,16884314245,Heliconia ‘Variegated Nickeriensis' 斑葉鳥蕉,23,29,7,30.43%,7,1,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-17,2414931569,Kaempferia rotunda 海南三七 孔雀薑 🥔塊莖販售🥔,4,3,1,25.00%,1,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-17,12636466702,Philodendron hederaceum 'Variegated' 大理石心葉蔓綠絨,6,8,0,0.00%,0,1,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
2023-05-17,15294263847,斑葉閉鞘薑 黃色絲狀斑🙂3吋小品,3,2,2,66.67%,0,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0.00%
