date,shop_name,daily_sales
2021-10-06,宅栽工作室,7370.0
2021-10-07,宅栽工作室,5150.0
2021-10-08,宅栽工作室,2053.0
2021-10-09,宅栽工作室,10421.0
2021-10-10,宅栽工作室,17437.0
2021-10-11,宅栽工作室,310.0
2021-10-12,宅栽工作室,460.0
2021-10-13,宅栽工作室,13419.0
2021-10-14,宅栽工作室,2509.0
2021-10-15,宅栽工作室,5800.0
2021-10-16,宅栽工作室,1712.0
2021-10-17,宅栽工作室,510.0
2021-10-18,宅栽工作室,2082.0
2021-10-19,宅栽工作室,3230.0
2021-10-20,宅栽工作室,12742.0
2021-10-21,宅栽工作室,3240.0
2021-10-22,宅栽工作室,4430.0
2021-10-23,宅栽工作室,2806.0
2021-10-24,宅栽工作室,2360.0
2021-10-25,宅栽工作室,9107.0
2021-10-26,宅栽工作室,12871.0
2021-10-27,宅栽工作室,4363.0
2021-10-28,宅栽工作室,3640.0
2021-10-29,宅栽工作室,7300.0
2021-10-30,宅栽工作室,13410.0
2021-10-31,宅栽工作室,5120.0
2021-11-01,宅栽工作室,4150.0
2021-11-02,宅栽工作室,4540.0
2021-11-03,宅栽工作室,7579.0
2021-11-04,宅栽工作室,9220.0
2021-11-05,宅栽工作室,3140.0
2021-11-06,宅栽工作室,2520.0
2021-11-07,宅栽工作室,1420.0
2021-11-08,宅栽工作室,26452.0
2021-11-09,宅栽工作室,5841.0
2021-11-10,宅栽工作室,0.0
2021-11-11,宅栽工作室,0.0
2021-11-12,宅栽工作室,0.0
2021-11-13,宅栽工作室,0.0
2021-11-14,宅栽工作室,0.0
2021-11-15,宅栽工作室,0.0
2021-11-16,宅栽工作室,0.0
2021-11-17,宅栽工作室,0.0
2021-11-18,宅栽工作室,0.0
2021-11-19,宅栽工作室,0.0
2021-11-20,宅栽工作室,0.0
2021-11-21,宅栽工作室,10798.0
2021-11-22,宅栽工作室,2120.0
2021-11-23,宅栽工作室,2339.0
2021-11-24,宅栽工作室,6298.0
2021-11-25,宅栽工作室,0.0
2021-11-26,宅栽工作室,1320.0
2021-11-27,宅栽工作室,2205.0
2021-11-28,宅栽工作室,0.0
2021-11-29,宅栽工作室,3720.0
2021-11-30,宅栽工作室,7429.0
2021-12-01,宅栽工作室,256.0
2021-12-02,宅栽工作室,9446.0
2021-12-03,宅栽工作室,8690.0
2021-12-04,宅栽工作室,1080.0
2021-12-05,宅栽工作室,360.0
2021-12-06,宅栽工作室,5720.0
2021-12-07,宅栽工作室,2560.0
2021-12-08,宅栽工作室,0.0
2021-12-09,宅栽工作室,760.0
2021-12-10,宅栽工作室,460.0
2021-12-11,宅栽工作室,0.0
2021-12-12,宅栽工作室,1200.0
2021-12-13,宅栽工作室,0.0
2021-12-14,宅栽工作室,3171.0
2021-12-15,宅栽工作室,200.0
2021-12-16,宅栽工作室,610.0
2021-12-17,宅栽工作室,10759.0
2021-12-18,宅栽工作室,10863.0
2021-12-19,宅栽工作室,5050.0
2021-12-20,宅栽工作室,2960.0
2021-12-21,宅栽工作室,3900.0
2021-12-22,宅栽工作室,1020.0
2021-12-23,宅栽工作室,870.0
2021-12-24,宅栽工作室,60.0
2021-12-25,宅栽工作室,1120.0
2021-12-26,宅栽工作室,5145.0
2021-12-27,宅栽工作室,360.0
2021-12-28,宅栽工作室,0.0
2021-12-29,宅栽工作室,0.0
2021-12-30,宅栽工作室,11880.0
2021-12-31,宅栽工作室,3160.0
2022-01-01,宅栽工作室,12234.0
2022-01-02,宅栽工作室,4326.0
2022-01-03,宅栽工作室,7300.0
2022-01-04,宅栽工作室,2690.0
2022-01-05,宅栽工作室,10627.0
2022-01-06,宅栽工作室,844.0
2022-01-07,宅栽工作室,6130.0
2022-01-08,宅栽工作室,460.0
2022-01-09,宅栽工作室,1060.0
2022-01-10,宅栽工作室,21534.0
2022-01-11,宅栽工作室,8921.0
2022-01-12,宅栽工作室,5848.0
2022-01-13,宅栽工作室,4630.0
2022-01-14,宅栽工作室,6716.0
2022-01-15,宅栽工作室,1370.0
2022-01-16,宅栽工作室,2006.0
2022-01-17,宅栽工作室,870.0
2022-01-18,宅栽工作室,8382.0
2022-01-19,宅栽工作室,9344.0
2022-01-20,宅栽工作室,7533.0
2022-01-21,宅栽工作室,3230.0
2022-01-22,宅栽工作室,8446.0
2022-01-23,宅栽工作室,0.0
2022-01-24,宅栽工作室,310.0
2022-01-25,宅栽工作室,0.0
2022-01-26,宅栽工作室,0.0
2022-01-27,宅栽工作室,0.0
2022-01-28,宅栽工作室,0.0
2022-01-29,宅栽工作室,6076.0
2022-01-30,宅栽工作室,8198.0
2022-01-31,宅栽工作室,8475.0
2022-02-01,宅栽工作室,6580.0
2022-02-02,宅栽工作室,12138.0
2022-02-03,宅栽工作室,7318.0
2022-02-04,宅栽工作室,1733.0
2022-02-05,宅栽工作室,7192.0
2022-02-06,宅栽工作室,6401.0
2022-02-07,宅栽工作室,5988.0
2022-02-08,宅栽工作室,4959.0
2022-02-09,宅栽工作室,6056.0
2022-02-10,宅栽工作室,8379.0
2022-02-11,宅栽工作室,16698.0
2022-02-12,宅栽工作室,18152.0
2022-02-13,宅栽工作室,4740.0
2022-02-14,宅栽工作室,1538.0
2022-02-15,宅栽工作室,14968.0
2022-02-16,宅栽工作室,7007.0
2022-02-17,宅栽工作室,2527.0
2022-02-18,宅栽工作室,18905.0
2022-02-19,宅栽工作室,6854.0
2022-02-20,宅栽工作室,3597.0
2022-02-21,宅栽工作室,9691.0
2022-02-22,宅栽工作室,4374.0
2022-02-23,宅栽工作室,5866.0
2022-02-24,宅栽工作室,9418.0
2022-02-25,宅栽工作室,5594.0
2022-02-26,宅栽工作室,4136.0
2022-02-27,宅栽工作室,9607.0
2022-02-28,宅栽工作室,14800.0
2022-03-01,宅栽工作室,6745.0
2022-03-02,宅栽工作室,9730.0
2022-03-03,宅栽工作室,60330.0
2022-03-04,宅栽工作室,9979.0
2022-03-05,宅栽工作室,35169.0
2022-03-06,宅栽工作室,24532.0
2022-03-07,宅栽工作室,12504.0
2022-03-08,宅栽工作室,7501.0
2022-03-09,宅栽工作室,8801.0
2022-03-10,宅栽工作室,6752.0
2022-03-11,宅栽工作室,9696.0
2022-03-12,宅栽工作室,10528.0
2022-03-13,宅栽工作室,8572.0
2022-03-14,宅栽工作室,8915.0
2022-03-15,宅栽工作室,6926.0
2022-03-16,宅栽工作室,13896.0
2022-03-17,宅栽工作室,5088.0
2022-03-18,宅栽工作室,28156.0
2022-03-19,宅栽工作室,6449.0
2022-03-20,宅栽工作室,12098.0
2022-03-21,宅栽工作室,6701.0
2022-03-22,宅栽工作室,2180.0
2022-03-23,宅栽工作室,3700.0
2022-03-24,宅栽工作室,3949.0
2022-03-25,宅栽工作室,5421.0
2022-03-26,宅栽工作室,4558.0
2022-03-27,宅栽工作室,5932.0
2022-03-28,宅栽工作室,11201.0
2022-03-29,宅栽工作室,14261.0
2022-03-30,宅栽工作室,23173.0
2022-03-31,宅栽工作室,16793.0
2022-04-01,宅栽工作室,9092.0
2022-04-02,宅栽工作室,10070.0
2022-04-03,宅栽工作室,7438.0
2022-04-04,宅栽工作室,35476.0
2022-04-05,宅栽工作室,12306.0
2022-04-06,宅栽工作室,12821.0
2022-04-07,宅栽工作室,13900.0
2022-04-08,宅栽工作室,6681.0
2022-04-09,宅栽工作室,8734.0
2022-04-10,宅栽工作室,8449.0
2022-04-11,宅栽工作室,9155.0
2022-04-12,宅栽工作室,9816.0
2022-04-13,宅栽工作室,10764.0
2022-04-14,宅栽工作室,8706.0
2022-04-15,宅栽工作室,4666.0
2022-04-16,宅栽工作室,10157.0
2022-04-17,宅栽工作室,3830.0
2022-04-18,宅栽工作室,39893.0
2022-04-19,宅栽工作室,4528.0
2022-04-20,宅栽工作室,10300.0
2022-04-21,宅栽工作室,7762.0
2022-04-22,宅栽工作室,5618.0
2022-04-24,宅栽工作室,7512.0
2022-04-25,宅栽工作室,19286.0
2022-04-26,宅栽工作室,15351.0
2022-04-27,宅栽工作室,10365.0
2022-04-28,宅栽工作室,5590.0
2022-04-29,宅栽工作室,21998.0
2022-04-30,宅栽工作室,6980.0
2022-05-01,宅栽工作室,8061.0
2022-05-02,宅栽工作室,6756.0
2022-05-03,宅栽工作室,13860.0
2022-05-04,宅栽工作室,5171.0
2022-05-05,宅栽工作室,37842.0
2022-05-06,宅栽工作室,4738.0
2022-05-07,宅栽工作室,13600.0
2022-05-08,宅栽工作室,9977.0
2022-05-09,宅栽工作室,6798.0
2022-05-10,宅栽工作室,16448.0
2022-05-11,宅栽工作室,21845.0
2022-05-12,宅栽工作室,13895.0
2022-05-13,宅栽工作室,10808.0
2022-05-14,宅栽工作室,11459.0
2022-05-15,宅栽工作室,6628.0
2022-05-16,宅栽工作室,8748.0
2022-05-17,宅栽工作室,13298.0
2022-05-18,宅栽工作室,30939.0
2022-05-19,宅栽工作室,8358.0
2022-05-20,宅栽工作室,40164.0
2022-05-21,宅栽工作室,9228.0
2022-05-22,宅栽工作室,18799.0
2022-05-23,宅栽工作室,33036.0
2022-05-24,宅栽工作室,5990.0
2022-05-25,宅栽工作室,14783.0
2022-05-26,宅栽工作室,6789.0
2022-05-27,宅栽工作室,6759.0
2022-05-28,宅栽工作室,4660.0
2022-05-29,宅栽工作室,8070.0
2022-05-30,宅栽工作室,1320.0
2022-05-31,宅栽工作室,10805.0
2022-06-01,宅栽工作室,15577.0
2022-06-02,宅栽工作室,23303.0
2022-06-03,宅栽工作室,6360.0
2022-06-04,宅栽工作室,11185.0
2022-06-05,宅栽工作室,7725.0
2022-06-06,宅栽工作室,34772.0
2022-06-07,宅栽工作室,34947.0
2022-06-08,宅栽工作室,13100.0
2022-06-09,宅栽工作室,14064.0
2022-06-10,宅栽工作室,20413.0
2022-06-11,宅栽工作室,17684.0
2022-06-12,宅栽工作室,14207.0
2022-06-13,宅栽工作室,10227.0
2022-06-14,宅栽工作室,24627.0
2022-06-16,宅栽工作室,19587.0
2022-06-17,宅栽工作室,7529.0
2022-06-18,宅栽工作室,53584.0
2022-06-19,宅栽工作室,14475.0
2022-06-20,宅栽工作室,16927.0
2022-06-21,宅栽工作室,15416.0
2022-06-22,宅栽工作室,11687.0
2022-06-23,宅栽工作室,10450.0
2022-06-24,宅栽工作室,8240.0
2022-06-25,宅栽工作室,11153.0
2022-06-26,宅栽工作室,10138.0
2022-06-27,宅栽工作室,14029.0
2022-06-28,宅栽工作室,10970.0
2022-06-29,宅栽工作室,14620.0
2022-06-30,宅栽工作室,24637.0
2022-07-01,宅栽工作室,6310.0
2022-07-02,宅栽工作室,8391.0
2022-07-03,宅栽工作室,9787.0
2022-07-04,宅栽工作室,21350.0
2022-07-05,宅栽工作室,13560.0
2022-07-06,宅栽工作室,12050.0
2022-07-07,宅栽工作室,48918.0
2022-07-08,宅栽工作室,13410.0
2022-07-09,宅栽工作室,7303.0
2022-07-10,宅栽工作室,11326.0
2022-07-11,宅栽工作室,3690.0
2022-07-12,宅栽工作室,15536.0
2022-07-13,宅栽工作室,11250.0
2022-07-14,宅栽工作室,13100.0
2022-07-15,宅栽工作室,18224.0
2022-07-16,宅栽工作室,14509.0
2022-07-17,宅栽工作室,5342.0
2022-07-18,宅栽工作室,17843.0
2022-07-19,宅栽工作室,18433.0
2022-07-20,宅栽工作室,15679.0
2022-07-21,宅栽工作室,21137.0
2022-07-22,宅栽工作室,9587.0
2022-07-23,宅栽工作室,6588.0
2022-07-24,宅栽工作室,17018.0
2022-07-25,宅栽工作室,11315.0
2022-07-26,宅栽工作室,9879.0
2022-07-27,宅栽工作室,14565.0
2022-07-28,宅栽工作室,18257.0
2022-07-29,宅栽工作室,5840.0
2022-07-30,宅栽工作室,10660.0
2022-07-31,宅栽工作室,13058.0
2022-08-01,宅栽工作室,5320.0
2022-08-02,宅栽工作室,4226.0
2022-08-03,宅栽工作室,6697.0
2022-08-04,宅栽工作室,18087.0
2022-08-05,宅栽工作室,14685.0
2022-08-06,宅栽工作室,19168.0
2022-08-07,宅栽工作室,10574.0
2022-08-08,宅栽工作室,40196.0
2022-08-09,宅栽工作室,10400.0
2022-08-10,宅栽工作室,9894.0
2022-08-11,宅栽工作室,10279.0
2022-08-12,宅栽工作室,12587.0
2022-08-13,宅栽工作室,5640.0
2022-08-14,宅栽工作室,11348.0
2022-08-15,宅栽工作室,11770.0
2022-08-16,宅栽工作室,12789.0
2022-08-17,宅栽工作室,12365.0
2022-08-18,宅栽工作室,23108.0
2022-08-19,宅栽工作室,6260.0
2022-08-20,宅栽工作室,3270.0
2022-08-21,宅栽工作室,3151.0
2022-08-22,宅栽工作室,6128.0
2022-08-23,宅栽工作室,3540.0
2022-08-24,宅栽工作室,1220.0
2022-08-25,宅栽工作室,5851.0
2022-08-26,宅栽工作室,4461.0
2022-08-27,宅栽工作室,7220.0
2022-08-28,宅栽工作室,1411.0
2022-08-29,宅栽工作室,13404.0
2022-08-30,宅栽工作室,5799.0
2022-08-31,宅栽工作室,10040.0
2022-09-01,宅栽工作室,12940.0
2022-09-02,宅栽工作室,10538.0
2022-09-03,宅栽工作室,2490.0
2022-09-04,宅栽工作室,6170.0
2022-09-05,宅栽工作室,13569.0
2022-09-06,宅栽工作室,5068.0
2022-09-07,宅栽工作室,7295.0
2022-09-08,宅栽工作室,15591.0
2022-09-09,宅栽工作室,41869.0
2022-09-10,宅栽工作室,6340.0
2022-09-11,宅栽工作室,14211.0
2022-09-12,宅栽工作室,13308.0
2022-09-13,宅栽工作室,8662.0
2022-09-14,宅栽工作室,10847.0
2022-09-15,宅栽工作室,17340.0
2022-09-16,宅栽工作室,18031.0
2022-09-17,宅栽工作室,5858.0
2022-09-18,宅栽工作室,24602.0
2022-09-19,宅栽工作室,9131.0
2022-09-20,宅栽工作室,7829.0
2022-09-21,宅栽工作室,18063.0
2022-09-22,宅栽工作室,6168.0
2022-09-23,宅栽工作室,5596.0
2022-09-24,宅栽工作室,7092.0
2022-09-25,宅栽工作室,9624.0
2022-09-26,宅栽工作室,25100.0
2022-09-27,宅栽工作室,8797.0
2022-09-28,宅栽工作室,10935.0
2022-09-29,宅栽工作室,13109.0
2022-09-30,宅栽工作室,13938.0
2022-10-01,宅栽工作室,10925.0
2022-10-02,宅栽工作室,3749.0
2022-10-03,宅栽工作室,10200.0
2022-10-04,宅栽工作室,10338.0
2022-10-05,宅栽工作室,9719.0
2022-10-06,宅栽工作室,11290.0
2022-10-07,宅栽工作室,4578.0
2022-10-08,宅栽工作室,1240.0
2022-10-09,宅栽工作室,5920.0
2022-10-10,宅栽工作室,15756.0
2022-10-11,宅栽工作室,4628.0
2022-10-12,宅栽工作室,9328.0
2022-10-13,宅栽工作室,7320.0
2022-10-14,宅栽工作室,3958.0
2022-10-15,宅栽工作室,2318.0
2022-10-16,宅栽工作室,9958.0
2022-10-17,宅栽工作室,9542.0
2022-10-18,宅栽工作室,22446.0
2022-10-19,宅栽工作室,3830.0
2022-10-20,宅栽工作室,9041.0
